Name,FIPS,"# Total Population [B01003] | Total population, 2017","# Sex By Age (White Alone) [B01001A] | People who are White alone | Under 5 years, 2017","# Sex By Age (White Alone) [B01001A] | People who are White alone | 5 to 9 years, 2017","# Sex By Age (White Alone) [B01001A] | People who are White alone | 10 to 14 years, 2017","# Sex By Age (White Alone) [B01001A] | People who are White alone | 15 to 17 years, 2017","# Sex By Age (White Alone) [B01001A] | People who are White alone | 18 and 19 years, 2017","# Sex By Age (White Alone) [B01001A] | People who are White alone | 20 to 24 years, 2017","# Sex By Age (White Alone) [B01001A] | People who are White alone | 25 to 29 years, 2017","# Sex By Age (White Alone) [B01001A] | People who are White alone | 30 to 34 years, 2017","# Sex By Age (White Alone) [B01001A] | People who are White alone | 35 to 44 years, 2017","# Sex By Age (White Alone) [B01001A] | People who are White alone | 45 to 54 years, 2017","# Sex By Age (White Alone) [B01001A] | People who are White alone | 55 to 64 years, 2017","# Sex By Age (White Alone) [B01001A] | People who are White alone | 65 to 74 years, 2017","# Sex By Age (White Alone) [B01001A] | People who are White alone | 75 to 84 years, 2017","# Sex By Age (White Alone) [B01001A] | People who are White alone | 85 years and over, 2017"
"11213, Brooklyn, NY",11213,66503,1840,1020,971,632,252,1616,1975,1362,1520,1096,986,611,321,176
"11214, Brooklyn, NY",11214,94283,2517,2634,2346,1440,623,2239,3333,3278,6431,6662,6443,4929,3302,2344
"11215, Brooklyn, NY",11215,71015,3856,3045,2360,1216,274,2301,5927,6396,11200,7029,4729,3525,1372,507
"11216, Brooklyn, NY",11216,57410,565,490,237,70,72,1849,4338,2586,2586,1344,577,150,116,39
"11217, Brooklyn, NY",11217,39687,1676,759,1012,300,124,839,2994,3409,5380,2657,1951,1361,517,250
"11218, Brooklyn, NY",11218,76960,4378,3263,3509,1603,825,1928,3163,3491,6728,4661,4620,3217,1710,858
"11219, Brooklyn, NY",11219,93979,9300,6854,6005,3083,1417,4556,4522,3737,5858,3818,4878,4237,2111,2039
"11220, Brooklyn, NY",11220,100412,1499,1860,1391,838,565,1606,2555,2257,4134,3572,3026,2529,1692,650
"11221, Brooklyn, NY",11221,84536,1421,1112,914,591,432,2886,4515,2670,4023,2397,1256,827,396,177
"11222, Brooklyn, NY",11222,36845,1007,749,576,313,341,1486,4980,5105,5711,3243,3126,1957,997,511
"11223, Brooklyn, NY",11223,80855,4233,3049,2515,1948,1004,2728,3739,2974,5772,5364,5950,4685,3113,1780
"11224, Brooklyn, NY",11224,45244,1162,996,771,482,356,909,1450,1180,2591,3045,3810,4208,3283,1926
"11225, Brooklyn, NY",11225,59497,1192,822,951,387,124,1334,2817,2486,2386,1153,886,383,190,37
"11226, Brooklyn, NY",11226,102585,839,1033,663,270,183,1068,2005,2289,2545,1460,1014,780,341,148
"11228, Brooklyn, NY",11228,44676,1437,1074,1130,835,518,1496,1540,1886,3091,3447,3995,2808,1996,1192
"11229, Brooklyn, NY",11229,85776,3660,3344,3238,1578,915,3116,3336,3564,6781,7045,8231,6263,3547,1903
"11230, Brooklyn, NY",11230,90257,5556,4795,4508,2822,1230,4148,4257,3992,6555,6381,7312,5606,3274,2214
"11231, Brooklyn, NY",11231,37680,2090,1227,1071,600,130,590,1894,3481,5424,3594,2600,1341,767,375
"11232, Brooklyn, NY",11232,28992,530,474,375,208,153,927,1499,1473,1766,1798,1113,575,352,94
"11233, Brooklyn, NY",11233,74982,307,223,147,118,101,885,1065,813,1026,534,326,295,129,41
"11234, Brooklyn, NY",11234,97741,2381,2429,2680,1500,776,2189,1943,2149,4832,5425,6694,4076,2785,1357
"11235, Brooklyn, NY",11235,80222,3033,2840,2627,1254,878,2635,3517,4105,7899,8013,8461,7456,5698,3132
"11236, Brooklyn, NY",11236,100633,244,228,189,202,142,200,208,216,658,678,1084,961,547,416
"11237, Brooklyn, NY",11237,52319,1339,1135,1439,529,362,3324,4655,3341,3551,1842,1245,704,348,138
