"GROUP","COPD","Physical.Activity","Obese","HighBloodPressure","No.Physical.Activity","No.Health.Insurance","Health.Insurance","Depression","Diabetes","Heart.Disease","No.Computer","Health.Risk.Index","Asthma"
"11361","5.9","19.5","24.8","28.2","30.4","5.99","94.01","15.9","11.5","3.7","7.13","Low","9.4"
"11220","5.5","16.1","25.5","24.8","37.3","14.96","85.04","15.7","12.3","2.9","13.91","Low","9.3"
"11355","5.4","16","20.7","28.1","36.1","19.12","80.88","12.8","14.5","3.6","17.78","Low","8.2"
"11105","5.8","20.8","27.7","24.5","29.1","6.63","93.37","18.9","9","3.2","10.56","Low","10.3"
"11412","7.1","18","39.4","40.1","38","6.61","93.39","16.7","15.8","3.7","7.54","Above Average","14.1"
"11210","6.7","19.2","35.1","34.3","34.2","6.24","93.76","17.7","13.1","3.4","7.52","Below Average","12.9"
"11418","6.1","17.8","29.8","27","34.9","12.47","87.53","17.1","12.1","3.2","6.22","Low","10.4"
"11222","5.6","21.3","28.3","22.4","28.3","7.22","92.78","20.1","7.8","2.7","7.47","Very low","10.6"
"11224","8.4","18.2","30.6","35.2","34.4","5.67","94.33","18.4","13.5","5","24.05","Below Average","11.7"
"10463","7.4","17.6","32","31.9","35.8","5.28","94.72","18","13.3","4.3","12.21","Below Average","11"
"11204","7.2","17.7","25.8","27.8","33.8","7.79","92.21","18","11.5","3.9","14.53","Low","10.2"
"11427","6.5","18.1","29.1","31.9","34.3","7.07","92.93","16","13.8","3.9","8.98","Below Average","10.7"
"11356","6","18.1","27.3","27.2","33.5","10.78","89.22","16.5","11.9","3.5","14.25","Low","9.6"
"11433","6.7","17.9","37.3","36.1","37.5","9.75","90.25","17","14.6","3.3","12.5","Above Average","13.5"
"11212","6.9","17.3","39","36.5","38.7","7.87","92.13","17.5","14.6","3.1","19.69","Above Average","14.2"
"10474","5.3","16.9","35.5","26.4","38.6","9.67","90.33","17.6","12","2.5","21.81","Below Average","11.3"
"11435","5.9","18","31","28.9","35.1","10.04","89.96","16.8","12.5","3.2","7.66","Low","11"
"11373","5.1","16.5","25.1","25.4","36.3","15.44","84.56","14.3","12.9","3","9.63","Low","8.7"
"11370","5","18.5","30.6","25.8","34.3","6.52","93.48","15.8","10.6","2.7","8.82","Low","9.7"
"10462","6.1","17.5","33.4","29.5","36.2","7.27","92.73","17.5","12.8","3.2","11.57","Below Average","11.3"
"11219","6.6","18.2","25.3","25.9","33.4","6.8","93.2","18.1","10.4","3.6","25.02","Low","10.2"
"11228","7.4","18.5","26.3","29.2","32.6","5.86","94.14","17.9","11.7","4.3","9.78","Low","10.2"
"11231","5","22","29.4","24","27.4","4.48","95.52","18.7","8.8","2.7","10.54","Low","10.7"
"10470","7.2","18.6","33.1","31.5","34","7.48","92.52","18.9","11.7","3.7","10.08","Below Average","12.1"
"11206","5.3","19.1","31.9","26.2","34.2","7.1","92.9","18","11.5","2.7","17.54","Low","11.3"
"10035","5.9","18.1","34.7","30.9","36.5","10.2","89.8","16.6","13.6","3.2","26.78","Below Average","11.4"
"11218","6.3","18.4","28.3","26.6","33","6.77","93.23","18.2","10.7","3.2","11.03","Low","10.6"
"11201","5.2","21.8","28.2","24.6","27.7","3.84","96.16","18.4","8.8","2.9","4.76","Low","10.6"
"11423","7.1","17.5","32.5","33.8","36.6","8.99","91.01","17","14.6","3.8","6.59","Below Average","12.2"
"11360","8.3","18.2","26.4","34.7","32.9","4.43","95.57","17.1","13.6","5.5","10.12","Below Average","10.1"
"11221","5.9","18.3","36.1","31.2","36.4","10.15","89.85","17.2","13.1","2.9","13.05","Below Average","12.3"
"11426","6.4","18.3","25.5","28.9","32.7","6.6","93.4","16.1","12.4","3.8","5.59","Low","9.8"
"11233","6.5","17.9","38.6","35.4","37.5","7.76","92.24","17.4","13.8","3","8.64","Above Average","14"
"11694","8.1","19.4","30.5","32.5","31.3","4.66","95.34","19.4","11.8","4.7","11.64","Below Average","11.2"
"10460","5.7","17.3","35.5","28.3","37.7","9.02","90.98","17.8","13","2.8","13.16","Below Average","11.6"
"11429","6.7","18.7","37.9","38","36.3","6.65","93.35","16.5","15.1","3.5","5.56","Above Average","13.4"
"11421","5.9","17.8","30.7","26.6","35.3","10.58","89.42","17.1","12.2","3.2","7.29","Low","10.1"
"11226","6.4","18.4","37.4","34.8","36.4","10.5","89.5","17.1","13.8","3","14.34","Above Average","13.3"
"11232","4.9","18.1","29.7","22.9","35","12.52","87.48","17","10.4","2.5","9.97","Low","9.7"
"10302","6.2","18.9","32.3","27.7","33.4","10.3","89.7","18.3","10.8","3.2","17.21","Low","11.1"
"11411","7.4","18.4","39.6","42.5","37.3","6.94","93.06","16.2","17","4.1","6.99","High","13.8"
"11419","6.7","17.5","28.9","28.1","35.8","10.94","89.06","17.4","13.1","3.2","7.24","Low","11.5"
"11417","6.8","17.8","30","27.7","35","6.81","93.19","17.9","12.1","3.4","6.9","Low","10.8"
"11238","5.4","20.6","32.5","28","31.1","4.98","95.02","18.3","10.5","2.6","8.27","Low","12"
"10034","5.9","17.8","33.2","27.2","35.9","8.16","91.84","18","12.9","3.2","11.98","Below Average","10.6"
"11371","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","null","N/A"
"11366","6.4","18.3","24.3","30","32.7","6.93","93.07","15.6","13.1","4.1","8.07","Low","9.5"
"10468","5.6","17.4","34","27.6","37.2","10.69","89.31","17.3","12.7","2.9","11.63","Below Average","10.9"
"11369","5.5","17.6","33.1","28.6","36.7","12.56","87.44","16.5","13","3.1","12.66","Below Average","10.4"
"11213","6.5","19.3","36.7","34.8","35.3","7.94","92.06","17.5","13.5","3.2","11.97","Above Average","13.5"
"11692","6.7","17.6","36.3","33.7","36.8","4.88","95.12","17.7","13.4","3.3","6.86","Below Average","13.2"
"10457","5.8","16.8","35.9","28.7","38.5","9.62","90.38","17.9","13.2","2.8","15.03","Below Average","11.8"
"10472","5.5","17.7","34.1","28.4","36.9","11.65","88.35","16.9","13.1","3","16.16","Below Average","11"
"10454","5.9","16.5","35.5","28.2","39.3","12.55","87.45","17.9","13.4","3","21.51","Below Average","11.5"
"10451","6.6","16.5","36.2","32.2","39.4","8.1","91.9","17.7","14.8","3.4","15.24","Below Average","12.1"
"10456","6","17.2","36.6","30.3","38.3","9.55","90.45","17.7","13.4","2.9","16.03","Below Average","12.2"
"10458","5.2","18.2","33.2","25.2","35.9","10.56","89.44","18","11.2","2.5","10.23","Low","11.2"
"11237","4.8","18.3","31.9","22.7","35.5","14.84","85.16","17.5","10.5","2.3","9.5","Low","10.2"
"10452","5.7","16.9","36.1","28.2","38.5","10.68","89.32","17.9","13","2.7","14.05","Below Average","11.7"
"11693","7","18.8","32.7","30.4","32.8","6.21","93.79","19.2","11.6","3.5","9.9","Below Average","11.9"
"11004","7.3","18","25.2","32.3","33.4","1.9","98.1","16","13.5","4.7","9.15","Below Average","9.8"
"11205","4.9","21.1","31.2","25.6","30.5","4.51","95.49","18.2","9.8","2.4","12.63","Low","11.7"
"11374","6.5","19.1","26","29.1","30.9","6.71","93.29","16.7","11.7","4","10.53","Low","9.7"
"11216","6","19.4","36.6","33.3","34.8","6.79","93.21","17.3","12.7","2.9","10.63","Below Average","13.2"
"10453","5.9","16.5","36.3","28.6","39.1","9.04","90.96","18.1","13.1","2.7","12.71","Below Average","12"
"11225","6.6","19","37.2","35.6","35.5","7.35","92.65","17.3","14","3.2","13.82","Above Average","13.4"
"10002","6.2","17.2","23.7","29.5","36","5.53","94.47","14.6","15.1","4","22.57","Low","9.2"
"11363","6.8","19.3","25.5","31","30.5","2.92","97.08","16.4","12.5","4.4","4.21","Low","9.5"
"10027","5.4","20.5","31.3","27.1","32.3","5.62","94.38","17.8","10.8","2.7","14.77","Low","11.9"
"11106","5.4","20.1","27.8","24.9","30.7","6.58","93.42","17.4","10","3","10.04","Low","10"
"10024","5","23.8","26.7","26.9","23.6","3.18","96.82","17.8","9.1","3.5","4.88","Low","10"
"11428","6.3","18.3","30.2","30.2","34.5","7.79","92.21","16.6","13.4","3.4","9.18","Below Average","11.1"
"10459","5.9","16.6","35.8","28.7","39.1","9.52","90.48","17.8","13.5","3","16.62","Below Average","11.6"
"10029","5.8","18.5","32.1","28.8","35.2","6.49","93.51","16.9","13","3.2","16.73","Below Average","11"
"11436","6.8","17.9","37.5","36.4","37.4","8","92","17","14.6","3.3","5.53","Above Average","13.6"
"11102","5.1","20.5","28.1","23.8","30.2","7.76","92.24","17.7","9.3","2.8","8.12","Low","10.1"
"10025","5.4","22.2","27.8","27.3","27.5","4.01","95.99","17.6","10.4","3.4","9.22","Low","10.5"
"11217","5","21.5","30.2","24.8","28.6","3.73","96.27","18.6","9.4","2.6","6.27","Low","11"
"11372","5.4","17.5","29.7","26.9","35.3","12.21","87.79","16.1","12.5","3.3","9.2","Low","9.4"
"10455","5.9","16.3","35.8","28.3","39.5","9.76","90.24","18","13.5","2.9","15.23","Below Average","11.5"
"11103","5.1","20.9","27.4","22.4","29","9.68","90.32","18.5","8.4","2.7","7.94","Very low","10.1"
"10019","4.3","24.1","24.7","22.7","23.8","3.88","96.12","16.6","8.1","2.8","5.88","Very low","9.3"
"10011","4.3","24.6","25.9","22.8","22.9","2.51","97.49","17.5","7.7","2.8","4.77","Very low","9.7"
"11416","5.8","18","29.7","25.9","34.9","8.17","91.83","17","11.7","3","7.67","Low","10.4"
"10032","6","17.9","33.3","28.6","36.7","13.15","86.85","17.3","13.7","3.3","12.54","Below Average","10.7"
"10031","5.9","18.3","34.1","29","36.3","11.17","88.83","17.5","13.1","3.1","10.67","Below Average","11.3"
"11239","9.5","15.9","35.4","41","40.2","4.29","95.71","18","16.9","5.3","22.71","Above Average","13.3"
"10009","5","22.1","26.5","24.1","28.2","4.72","95.28","17.8","9.8","2.9","8.93","Low","10.2"
"10001","4.3","24.3","24.6","22.8","24","3.07","96.93","16.7","8.3","2.8","7.11","Very low","9.6"
"10033","5.9","18.5","32","26.7","35.3","7.99","92.01","17.9","12.7","3.3","12.44","Low","10.4"
"10003","4","25.2","23.2","19.1","23","3.71","96.29","18.3","6.3","2.3","3.18","Very low","10.1"
"11415","6.9","18.1","29.6","28.4","33.7","6.16","93.84","18.4","11.5","3.7","7.45","Low","10.7"
"10014","4.1","25.5","25.3","21.6","21.3","3.24","96.76","18.4","6.7","2.7","2.86","Very low","9.9"
"10013","4.4","22.5","22.6","23.7","26.4","4.12","95.88","15.7","9.9","3","13.83","Very low","9.1"
"10004","2.5","26.5","22.3","14.4","20.3","4.26","95.74","17.2","4.2","1.2","0","Very low","9.2"
"10016","3.7","25.7","22.8","19.5","21.5","3.65","96.35","17.7","6.4","2.3","5.02","Very low","9.7"
"10023","4.6","24.1","25.4","25.1","23","2.5","97.5","17.6","8.3","3.3","5.84","Very low","9.8"
"10128","4.5","24.5","25.3","23.8","22.8","2.74","97.26","17.9","7.9","3","3.71","Very low","10"
"10036","4","24.3","25.4","22.2","23.9","4.45","95.55","16.1","8","2.6","7.28","Very low","9.2"
