GROUP,boro,count,date,day
Male,2,23410,2020-06-20,34
Female,3,12267,2020-06-20,34
Male,3,13924,2020-06-20,34
Female,4,30477,2020-06-20,34
Male,4,33221,2020-06-20,34
Female,5,6548,2020-06-20,34
Male,5,7229,2020-06-20,34
Female,1,28476,2020-06-19,33
Male,1,29302,2020-06-19,33
Female,2,23533,2020-06-19,33
Male,2,23381,2020-06-19,33
Female,3,12249,2020-06-19,33
Male,3,13893,2020-06-19,33
Female,4,30432,2020-06-19,33
Male,4,33185,2020-06-19,33
Female,5,6541,2020-06-19,33
Male,5,7221,2020-06-19,33
Female,1,28405,2020-06-18,32
Male,1,29228,2020-06-18,32
Female,2,23494,2020-06-18,32
Male,2,23370,2020-06-18,32
Female,3,12226,2020-06-18,32
Male,3,13862,2020-06-18,32
Female,4,30382,2020-06-18,32
Male,4,33140,2020-06-18,32
Female,5,6532,2020-06-18,32
Male,5,7214,2020-06-18,32
Female,1,28369,2020-06-17,31
Male,1,29185,2020-06-17,31
Female,2,23458,2020-06-17,31
Male,2,23354,2020-06-17,31
Female,3,12203,2020-06-17,31
Male,3,13843,2020-06-17,31
Female,4,30334,2020-06-17,31
Male,4,33087,2020-06-17,31
Female,5,6529,2020-06-17,31
Male,5,7213,2020-06-17,31
Female,1,28296,2020-06-16,30
Male,1,29121,2020-06-16,30
Female,2,23406,2020-06-16,30
Male,2,23307,2020-06-16,30
Female,3,12180,2020-06-16,30
Male,3,13817,2020-06-16,30
Female,4,30261,2020-06-16,30
Male,4,33001,2020-06-16,30
Female,5,6515,2020-06-16,30
Male,5,7207,2020-06-16,30
Female,1,28235,2020-06-15,29
Male,1,29072,2020-06-15,29
Female,2,23373,2020-06-15,29
Male,2,23286,2020-06-15,29
Female,3,12161,2020-06-15,29
Male,3,13802,2020-06-15,29
Female,4,30213,2020-06-15,29
Male,4,32942,2020-06-15,29
Female,5,6506,2020-06-15,29
Male,5,7197,2020-06-15,29
Female,1,28174,2020-06-14,28
Male,1,29004,2020-06-14,28
Female,2,23337,2020-06-14,28
Male,2,23252,2020-06-14,28
Female,3,12124,2020-06-14,28
Male,3,13751,2020-06-14,28
Female,4,30160,2020-06-14,28
Male,4,32883,2020-06-14,28
