Name,FIPS,"Median Household Income, 2017","# Total Population [B01003] | Total population, 2017","# Sex By Age [B01001] | Total population | Under 5 years, 2017","# Sex By Age [B01001] | Total population | 5 to 9 years, 2017","# Sex By Age [B01001] | Total population | 10 to 14 years, 2017","# Sex By Age [B01001] | Total population | 15 to 17 years, 2017","# Sex By Age [B01001] | Total population | 18 and 19 years, 2017","# Sex By Age [B01001] | Total population | 20 years, 2017","# Sex By Age [B01001] | Total population | 21 years, 2017","# Sex By Age [B01001] | Total population | 22 to 24 years, 2017","# Sex By Age [B01001] | Total population | 25 to 29 years, 2017","# Sex By Age [B01001] | Total population | 30 to 34 years, 2017","# Sex By Age [B01001] | Total population | 35 to 39 years, 2017","# Sex By Age [B01001] | Total population | 40 to 44 years, 2017","# Sex By Age [B01001] | Total population | 45 to 49 years, 2017","# Sex By Age [B01001] | Total population | 50 to 54 years, 2017","# Sex By Age [B01001] | Total population | 55 to 59 years, 2017","# Sex By Age [B01001] | Total population | 60 and 61 years, 2017","# Sex By Age [B01001] | Total population | 62 to 64 years, 2017","# Sex By Age [B01001] | Total population | 65 and 66 years, 2017","# Sex By Age [B01001] | Total population | 67 to 69 years, 2017","# Sex By Age [B01001] | Total population | 70 to 74 years, 2017","# Sex By Age [B01001] | Total population | 75 to 79 years, 2017","# Sex By Age [B01001] | Total population | 80 to 84 years, 2017","# Sex By Age [B01001] | Total population | 85 years and over, 2017","% Population in Poverty, Total, 2020","% Population in Poverty, Total, 2017","% Population in Poverty, Total, 2010"
"11359, Bayside, NY",11359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11360, Bayside, NY",11360,95719,19501,1076,901,864,394,245,53,171,513,1049,843,1392,1451,1201,1346,1549,433,988,553,756,949,859,813,1102,6.4057,5.755,4.6913
"11361, Bayside, NY",11361,92996,29072,1408,1424,1504,1020,531,266,294,1157,2045,2195,2175,2129,1944,2004,2122,690,1093,663,898,1204,729,637,940,9.8474,8.8264,7.2599
"11362, Little Neck, NY",11362,102001,18443,1063,963,654,387,308,97,184,495,1067,805,1335,1188,962,1328,1530,690,784,533,731,1128,550,565,1096,9.7064,8.7336,7.2697
"11363, Little Neck, NY",11363,110089,7423,411,415,500,166,144,69,42,219,455,312,457,500,353,777,690,158,228,160,243,441,319,104,260,3.7393,3.3399,2.7402
"11364, Oakland Gardens, NY",11364,90178,35885,2016,1645,1907,1376,588,508,184,894,1969,2374,2261,2418,2654,2961,2724,1579,1220,1174,1400,1382,1048,666,937,12.6355,11.2864,9.6538
"11365, Fresh Meadows, NY",11365,74883,45565,3350,2310,2306,1149,958,652,533,1624,3701,2658,2736,3070,3198,3931,3391,1478,1651,826,1199,1432,865,1197,1350,14.6303,13.2374,11.2324
"11366, Fresh Meadows, NY",11366,92055,14308,794,721,765,565,238,237,327,702,1084,870,711,879,858,1085,946,463,588,410,416,602,387,295,365,13.9705,12.5146,10.6386
"11367, Flushing, NY",11367,64545,43496,3921,3112,2167,1426,1112,744,686,1706,3749,3095,2291,2730,2031,2197,2898,1421,1730,1007,1100,1729,1136,679,829,21.9685,19.9442,17.3804
"11368, Corona, NY",11368,53702,114647,10441,8344,7641,4255,2541,1615,1698,5343,10838,10568,9614,8773,6771,6303,5173,2089,2510,1503,1977,2435,1937,861,1417,27.2946,24.823,21.5342
"11369, East Elmhurst, NY",11369,61859,37325,2571,1950,2271,1295,843,503,696,1791,2858,2916,2395,2495,2779,2366,2454,981,988,748,914,1115,971,689,736,20.2911,18.4595,15.8231
"11370, East Elmhurst, NY",11370,65577,33789,1567,1108,1597,1266,1057,708,494,1865,3312,2868,2501,2772,2564,2694,1885,690,884,568,724,788,686,635,556,21.2259,19.1409,16.2953
"11371, Flushing, NY",11371,62500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.1884,20.8791,0
"11372, Jackson Heights, NY",11372,57807,64298,3544,3305,3212,1714,1048,600,661,2282,4847,5845,5554,5025,5044,4752,3740,1442,2146,1060,1994,2906,1310,1142,1125,24.6372,22.528,19.4795
"11373, Elmhurst, NY",11373,55810,96353,5670,5209,4682,2810,1543,1138,1054,3744,8307,8332,7796,7828,6462,6540,6595,2553,3232,1978,2502,2968,2221,1749,1440,25.4834,23.2963,20.1445
"11374, Rego Park, NY",11374,68499,43540,2361,2039,1356,926,433,366,262,1343,3785,3772,2952,2663,2619,2829,3818,1098,1941,1148,1537,2063,1836,1085,1308,15.2598,13.6628,11.5306
"11375, Forest Hills, NY",11375,93902,72937,4993,4189,3199,1489,930,338,415,1664,4443,6155,6083,6039,5304,4656,4897,1930,2276,1666,2625,2673,2143,2372,2458,9.6636,8.7312,7.3575
"11377, Woodside, NY",11377,60381,89688,4464,4381,4403,2398,1362,1185,882,3181,7690,8102,8718,7483,7353,5931,5554,1702,2547,1940,2131,3194,2348,1569,1170,18.8579,17.3571,14.7419
"11378, Maspeth, NY",11378,70398,35844,2301,2030,1985,1466,537,393,396,1387,2655,3073,2504,2584,2437,2617,2491,939,1314,591,781,1165,837,572,789,12.6536,11.3161,9.528
"11379, Middle Village, NY",11379,82997,37524,1789,2149,2054,1061,645,424,340,996,2433,2564,2741,2443,2994,2744,2923,919,1345,944,1132,1491,1396,1027,970,11.2833,10.1064,8.5305
"11385, Ridgewood, NY",11385,61848,106598,6568,6610,6321,3964,2249,1512,1207,5085,9788,9002,9079,7325,7503,7184,6728,2273,3408,1720,2030,2097,2065,1533,1347,22.2846,20.2983,17.6894
"11411, Cambria Heights, NY",11411,104688,19990,954,887,1148,694,273,182,316,945,1166,1143,1210,1296,1255,1751,1712,646,484,399,695,1167,737,510,420,8.0785,7.2989,6.1898
"11412, Saint Albans, NY",11412,92795,38833,2534,2110,2345,1500,961,639,527,1935,2378,2591,2130,2228,2879,3115,3225,1094,1105,879,1004,1264,865,780,745,11.4302,10.306,8.6508
"11413, Springfield Gardens, NY",11413,101430,42895,2298,2418,2670,1915,1335,571,553,1728,2984,2567,2776,2617,3017,3680,2647,1130,1319,690,1233,1764,1456,821,706,10.0316,9.0258,7.5495
"11414, Howard Beach, NY",11414,79756,29203,1823,1284,1658,921,431,361,331,609,1754,1226,2180,1923,2004,1934,2159,778,1494,883,1017,1002,1187,853,1391,12.336,11.0822,9.1675
"11415, Kew Gardens, NY",11415,74780,19900,1260,1051,1145,618,277,131,142,644,1563,1857,1713,1331,1418,1086,1212,629,615,556,614,692,396,443,507,16.4403,14.8645,12.6257
"11416, Ozone Park, NY",11416,65316,27567,1835,1591,1737,1312,786,544,425,1358,2172,1871,1911,1813,2130,2021,1915,532,926,380,521,703,518,293,273,17.7636,16.1719,13.7202
"11417, Ozone Park, NY",11417,71309,32425,1978,1751,1970,1388,912,779,395,1486,2566,1841,2033,2280,2587,2487,2380,864,830,919,815,750,506,423,485,17.6743,16.0372,13.7525
"11418, Richmond Hill, NY",11418,74303,39267,2856,2588,2515,1566,981,601,601,1825,3463,3015,2599,2648,3187,2483,2311,996,1298,649,730,815,690,372,478,14.7518,13.1519,11.0276
"11419, South Richmond Hill, NY",11419,65241,52392,3234,2433,3051,1955,1329,927,906,2762,4934,3762,3238,3578,3904,4192,3654,1452,1679,1006,1109,1264,1015,569,439,19.7987,17.9988,15.4433
"11420, South Ozone Park, NY",11420,71844,49396,2507,2813,3037,2019,1303,801,880,2405,3936,3013,3196,3389,3425,4178,4005,1300,1424,852,1083,1676,1070,460,624,16.0471,14.5437,12.2902
"11421, Woodhaven, NY",11421,65957,43567,2634,2652,2549,1587,999,588,771,2256,3101,3205,3112,3191,3215,2996,3339,1197,1214,973,939,1283,925,327,514,18.1544,16.4365,13.9809
"11422, Rosedale, NY",11422,109800,33479,1948,1925,1883,1257,776,568,486,1469,2985,2247,2394,1803,2507,2695,2628,782,1125,580,765,1273,674,322,387,8.8301,7.9017,6.6233
"11423, Hollis, NY",11423,73851,32407,1823,1575,1799,1068,801,549,427,1379,2400,2245,2210,2128,2222,2320,2600,807,1414,625,1135,1020,769,444,647,14.1185,12.6699,10.7124
"11424, Jamaica, NY",11424,67857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.1515,13.3333,3.8462
"11425, Jamaica, NY",11425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11426, Bellerose, NY",11426,100517,21166,1518,1122,1207,641,581,201,395,825,1761,1554,1162,1225,1297,1578,1711,551,876,423,775,831,372,130,430,7.5453,6.6663,5.5833
"11427, Queens Village, NY",11427,87455,23809,1521,1122,1075,760,501,332,317,870,1487,1563,1560,1631,1893,1678,1690,1023,1042,588,722,720,629,474,611,11.9339,10.718,9.0679
"11428, Queens Village, NY",11428,84607,19859,986,1097,1148,838,426,317,175,806,1620,1305,1219,1317,1549,1584,1468,668,573,615,580,799,361,200,208,10.3795,9.2869,8.0286
"11429, Queens Village, NY",11429,90059,27667,1399,1350,1537,1023,648,459,373,1354,2183,1877,1781,1841,2026,2152,1988,938,777,633,728,981,785,458,376,16.446,14.8664,12.529
"11430, Jamaica, NY",11430,59615,183,5,0,0,0,0,12,11,0,27,0,27,6,24,33,14,12,0,0,12,0,0,0,0,24.6403,22.6131,19.798
"11432, Jamaica, NY",11432,63981,65098,4661,3684,3819,2098,3281,1270,1098,3020,4816,4673,4150,3932,4113,4005,4150,1430,2180,1024,1557,2103,1621,1267,1146,20.7703,19.0514,16.656
"11433, Jamaica, NY",11433,54491,36019,2218,2308,2520,1761,950,771,512,1683,2808,2772,2117,2443,2343,2293,2042,962,1099,832,614,1206,734,474,557,27.8037,25.4877,22.1985
"11434, Jamaica, NY",11434,76176,66725,4432,3746,4305,2654,1483,1097,811,2940,5411,4457,4292,3927,4296,5050,4951,1278,1900,1320,1934,1894,1831,1132,1584,15.4692,13.9387,11.8427
"11435, Jamaica, NY",11435,65089,59214,3962,3703,3076,1715,1169,669,775,2304,5954,5901,3964,4053,3931,3947,3668,1429,1837,1177,1575,1383,1228,958,836,21.5554,19.4362,16.8664
"11436, Jamaica, NY",11436,75485,20905,1157,1349,1462,775,406,297,369,1027,1884,1445,1500,1390,1487,1725,1293,492,642,382,345,614,328,202,334,17.6064,15.8833,13.6477
"11451, Jamaica, NY",11451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11691, Far Rockaway, NY",11691,48713,65356,7040,5959,4339,2529,1493,1021,955,2427,5053,4178,4363,2714,3645,3830,3992,1542,1869,1347,1163,1804,1580,1348,1165,31.1355,28.7831,25.1349
"11692, Arverne, NY",11692,51923,20242,1463,1743,1616,974,520,295,380,581,1273,1585,1277,1160,1420,1384,1337,504,520,439,433,440,437,206,255,33.512,31.2679,27.6227
"11693, Far Rockaway, NY",11693,63920,12709,1080,941,654,442,203,349,163,385,788,631,873,857,1023,1066,837,303,506,241,379,545,206,198,39,18.6188,16.6622,14.3235
"11694, Rockaway Park, NY",11694,92315,21003,1237,784,1218,828,288,223,173,365,958,1455,1056,958,1289,2004,2066,604,1004,600,817,1001,817,461,797,9.0398,8.1017,6.7337
"11697, Breezy Point, NY",11697,109608,3702,193,206,267,150,69,49,0,169,174,94,145,158,241,341,246,150,157,72,152,196,118,206,149,1.2412,1.3081,1.2907
