Name,FIPS,"Median Household Income, 2017","# Total Population [B01003] | Total population, 2017","# Sex By Age [B01001] | Total population | Under 5 years, 2017","# Sex By Age [B01001] | Total population | 5 to 9 years, 2017","# Sex By Age [B01001] | Total population | 10 to 14 years, 2017","# Sex By Age [B01001] | Total population | 15 to 17 years, 2017","# Sex By Age [B01001] | Total population | 18 and 19 years, 2017","# Sex By Age [B01001] | Total population | 20 years, 2017","# Sex By Age [B01001] | Total population | 21 years, 2017","# Sex By Age [B01001] | Total population | 22 to 24 years, 2017","# Sex By Age [B01001] | Total population | 25 to 29 years, 2017","# Sex By Age [B01001] | Total population | 30 to 34 years, 2017","# Sex By Age [B01001] | Total population | 35 to 39 years, 2017","# Sex By Age [B01001] | Total population | 40 to 44 years, 2017","# Sex By Age [B01001] | Total population | 45 to 49 years, 2017","# Sex By Age [B01001] | Total population | 50 to 54 years, 2017","# Sex By Age [B01001] | Total population | 55 to 59 years, 2017","# Sex By Age [B01001] | Total population | 60 and 61 years, 2017","# Sex By Age [B01001] | Total population | 62 to 64 years, 2017","# Sex By Age [B01001] | Total population | 65 and 66 years, 2017","# Sex By Age [B01001] | Total population | 67 to 69 years, 2017","# Sex By Age [B01001] | Total population | 70 to 74 years, 2017","# Sex By Age [B01001] | Total population | 75 to 79 years, 2017","# Sex By Age [B01001] | Total population | 80 to 84 years, 2017","# Sex By Age [B01001] | Total population | 85 years and over, 2017","% Population in Poverty, Total, 2020","% Population in Poverty, Total, 2017","% Population in Poverty, Total, 2010"
"10471, Bronx, NY",10471,89851,22040,1360,924,911,575,1033,571,379,585,1419,1302,1157,1218,1304,1107,1326,750,955,490,688,1003,886,816,1281,6.7722,7.3422,6.5028
"10472, Bronx, NY",10472,36210,68924,5421,5526,4604,3093,2002,1117,1154,3686,5320,5326,4689,4102,4908,3764,3167,1203,2037,816,1660,1942,1731,701,955,33.2572,34.8024,32.0597
"10473, Bronx, NY",10473,46436,62531,4012,3822,4635,2654,1567,942,1291,3397,4986,3529,3783,3471,4249,4404,3745,1728,1848,1442,1241,2058,1803,992,932,23.0856,24.3355,21.9771
"10474, Bronx, NY",10474,24414,12608,1005,1088,977,712,341,190,233,707,1072,1317,762,730,825,871,356,214,313,94,184,318,92,108,99,21.84,23.0593,20.3375
"10475, Bronx, NY",10475,59368,44241,1750,2880,1876,1199,780,720,418,2357,2251,1982,2476,3316,3196,2651,2772,1476,1970,1413,1320,2826,2330,885,1397,11.5276,12.2269,11.0108
"11001, Floral Park, NY",11001,128077,28010,1453,1748,1671,970,634,222,312,1197,1943,1464,1617,1650,1967,2261,2248,796,1291,585,746,1133,691,481,930,4.1499,3.6495,2.9706
"11004, Glen Oaks, NY",11004,97632,15151,971,758,427,410,174,77,263,740,1272,1116,746,722,950,984,1293,690,653,273,518,515,527,383,689,8.2752,7.4739,6.157
"11005, Floral Park, NY",11005,90470,1762,0,0,0,0,0,0,0,0,0,0,0,0,61,50,24,11,42,31,21,200,313,242,767,2.8554,2.5714,2.0975
"11040, New Hyde Park, NY",11040,129681,42140,2276,2527,2459,1409,1134,379,555,1591,2300,2326,2389,2691,3318,3279,2918,1226,1670,1207,1302,1533,1230,1035,1386,4.6015,3.9548,3.2533
"11101, Long Island City, NY",11101,55144,28852,1836,1286,1128,686,543,349,306,1318,3367,3769,2870,2212,2052,1651,1314,790,700,411,449,744,591,176,304,25.08,23.4133,20.6679
"11102, Astoria, NY",11102,60622,33727,1776,1180,1320,928,532,413,455,1582,5179,4663,2893,1913,1737,2278,1650,788,716,657,688,954,489,372,564,21.8595,19.8776,17.0995
"11103, Astoria, NY",11103,67380,38036,1844,1071,1282,702,504,210,311,2241,6519,5448,3239,2582,2031,2080,2048,638,916,614,692,984,888,687,505,16.8396,15.4604,12.9588
"11104, Sunnyside, NY",11104,65652,25725,1261,1075,918,552,319,140,219,804,2726,2887,2707,2470,1935,1460,1273,733,958,541,621,675,651,544,256,15.5238,13.8384,11.7702
