GROUP,boro,count,rate,date,day
65-74,5,1306,2877.6,2020-05-22,5
75+,5,1163,3672.48,2020-05-22,5
0-17,1,1583,271.47,2020-05-23,6
18-44,1,19182,1827.7,2020-05-23,6
45-64,1,18451,3122.29,2020-05-23,6
65-74,1,7499,3668.98,2020-05-23,6
75+,1,6578,4247.79,2020-05-23,6
0-17,2,1519,430.48,2020-05-23,6
18-44,2,16309,2935.02,2020-05-23,6
45-64,2,16466,4839.78,2020-05-23,6
65-74,2,5086,4985.59,2020-05-23,6
75+,2,4548,5589.9,2020-05-23,6
0-17,3,404,173.75,2020-05-23,6
18-44,3,8505,1144.03,2020-05-23,6
45-64,3,7928,2065.39,2020-05-23,6
65-74,3,3316,2265.94,2020-05-23,6
75+,3,4007,3269.39,2020-05-23,6
0-17,4,1349,296.49,2020-05-23,6
18-44,4,21990,2566.65,2020-05-23,6
45-64,4,22807,3741.07,2020-05-23,6
65-74,4,7011,3488.25,2020-05-23,6
75+,4,6531,4172.42,2020-05-23,6
0-17,5,388,375.17,2020-05-23,6
18-44,5,5186,3156.15,2020-05-23,6
45-64,5,5054,3846.48,2020-05-23,6
65-74,5,1312,2890.82,2020-05-23,6
75+,5,1173,3704.05,2020-05-23,6
0-17,1,1606,275.41,2020-05-24,7
18-44,1,19259,1835.03,2020-05-24,7
45-64,1,18528,3135.32,2020-05-24,7
65-74,1,7538,3688.07,2020-05-24,7
75+,1,6619,4274.27,2020-05-24,7
0-17,2,1526,432.46,2020-05-24,7
18-44,2,16389,2949.41,2020-05-24,7
45-64,2,16530,4858.59,2020-05-24,7
65-74,2,5102,5001.27,2020-05-24,7
75+,2,4568,5614.48,2020-05-24,7
0-17,3,410,176.33,2020-05-24,7
18-44,3,8548,1149.81,2020-05-24,7
45-64,3,7950,2071.12,2020-05-24,7
65-74,3,3332,2276.87,2020-05-24,7
75+,3,4018,3278.37,2020-05-24,7
0-17,4,1358,298.47,2020-05-24,7
18-44,4,22066,2575.52,2020-05-24,7
45-64,4,22883,3753.54,2020-05-24,7
65-74,4,7035,3500.19,2020-05-24,7
75+,4,6544,4180.72,2020-05-24,7
0-17,5,388,375.17,2020-05-24,7
18-44,5,5203,3166.5,2020-05-24,7
45-64,5,5071,3859.41,2020-05-24,7
65-74,5,1315,2897.43,2020-05-24,7
75+,5,1180,3726.16,2020-05-24,7
0-17,1,1612,276.44,2020-05-25,8
18-44,1,19318,1840.65,2020-05-25,8
45-64,1,18595,3146.65,2020-05-25,8
65-74,1,7559,3698.34,2020-05-25,8
75+,1,6643,4289.76,2020-05-25,8
0-17,2,1535,435.01,2020-05-25,8
18-44,2,16444,2959.31,2020-05-25,8
45-64,2,16585,4874.76,2020-05-25,8
65-74,2,5111,5010.1,2020-05-25,8
75+,2,4574,5621.86,2020-05-25,8
0-17,3,413,177.62,2020-05-25,8
18-44,3,8585,1154.79,2020-05-25,8
45-64,3,7989,2081.28,2020-05-25,8
65-74,3,3344,2285.07,2020-05-25,8
75+,3,4036,3293.05,2020-05-25,8
0-17,4,1369,300.88,2020-05-25,8
18-44,4,22133,2583.34,2020-05-25,8
45-64,4,22955,3765.35,2020-05-25,8
65-74,4,7048,3506.66,2020-05-25,8
75+,4,6569,4196.69,2020-05-25,8
0-17,5,391,378.07,2020-05-25,8
18-44,5,5207,3168.93,2020-05-25,8
45-64,5,5079,3865.5,2020-05-25,8
65-74,5,1319,2906.25,2020-05-25,8
75+,5,1191,3760.89,2020-05-25,8
0-17,1,1619,277.64,2020-05-26,9
18-44,1,19381,1846.66,2020-05-26,9
45-64,1,18662,3157.99,2020-05-26,9
65-74,1,7580,3708.61,2020-05-26,9
75+,1,6677,4311.72,2020-05-26,9
0-17,2,1539,436.14,2020-05-26,9
18-44,2,16480,2965.79,2020-05-26,9
45-64,2,16634,4889.16,2020-05-26,9
65-74,2,5121,5019.9,2020-05-26,9
75+,2,4580,5629.23,2020-05-26,9
0-17,3,413,177.62,2020-05-26,9
18-44,3,8602,1157.08,2020-05-26,9
45-64,3,8011,2087.01,2020-05-26,9
65-74,3,3350,2289.17,2020-05-26,9
75+,3,4048,3302.85,2020-05-26,9
0-17,4,1375,302.2,2020-05-26,9
18-44,4,22193,2590.34,2020-05-26,9
45-64,4,23008,3774.04,2020-05-26,9
65-74,4,7059,3512.13,2020-05-26,9
75+,4,6577,4201.8,2020-05-26,9
0-17,5,392,379.04,2020-05-26,9
18-44,5,5218,3175.63,2020-05-26,9
45-64,5,5087,3871.59,2020-05-26,9
65-74,5,1322,2912.86,2020-05-26,9
75+,5,1194,3770.37,2020-05-26,9
0-17,1,1629,279.36,2020-05-27,10
18-44,1,19481,1856.19,2020-05-27,10
45-64,1,18748,3172.55,2020-05-27,10
65-74,1,7601,3718.89,2020-05-27,10
75+,1,6705,4329.8,2020-05-27,10
0-17,2,1544,437.56,2020-05-27,10
18-44,2,16531,2974.97,2020-05-27,10
45-64,2,16694,4906.8,2020-05-27,10
65-74,2,5133,5031.66,2020-05-27,10
75+,2,4596,5648.9,2020-05-27,10
0-17,3,414,178.05,2020-05-27,10
18-44,3,8635,1161.52,2020-05-27,10
45-64,3,8042,2095.09,2020-05-27,10
65-74,3,3368,2301.47,2020-05-27,10
75+,3,4075,3324.87,2020-05-27,10
0-17,4,1388,305.06,2020-05-27,10
18-44,4,22257,2597.81,2020-05-27,10
45-64,4,23073,3784.71,2020-05-27,10
65-74,4,7079,3522.08,2020-05-27,10
75+,4,6591,4210.75,2020-05-27,10
0-17,5,393,380.01,2020-05-27,10
18-44,5,5231,3183.54,2020-05-27,10
45-64,5,5101,3882.25,2020-05-27,10
65-74,5,1328,2926.08,2020-05-27,10
75+,5,1199,3786.16,2020-05-27,10
0-17,1,1647,282.45,2020-05-28,11
18-44,1,19597,1867.24,2020-05-28,11
45-64,1,18861,3191.67,2020-05-28,11
65-74,1,7630,3733.08,2020-05-28,11
75+,1,6722,4340.78,2020-05-28,11
0-17,2,1558,441.53,2020-05-28,11
18-44,2,16598,2987.03,2020-05-28,11
45-64,2,16768,4928.55,2020-05-28,11
65-74,2,5154,5052.25,2020-05-28,11
75+,2,4612,5668.56,2020-05-28,11
0-17,3,416,178.91,2020-05-28,11
18-44,3,8685,1168.24,2020-05-28,11
45-64,3,8092,2108.12,2020-05-28,11
65-74,3,3373,2304.89,2020-05-28,11
75+,3,4088,3335.48,2020-05-28,11
0-17,4,1401,307.92,2020-05-28,11
18-44,4,22365,2610.42,2020-05-28,11
45-64,4,23163,3799.47,2020-05-28,11
65-74,4,7107,3536.01,2020-05-28,11
75+,4,6604,4219.05,2020-05-28,11
0-17,5,394,380.97,2020-05-28,11
18-44,5,5253,3196.93,2020-05-28,11
45-64,5,5120,3896.71,2020-05-28,11
65-74,5,1328,2926.08,2020-05-28,11
