"Name","Zip","pop2017","PercentBlack","PercentWhite","PercentAsian","PercentOther","Median Income","PercentPoverty2020","PercentPoverty2017","PercentPoverty2010","PercentPop0to17","PercentPop18to44","PercentPop45to64","PercentPop65to74","PercentPop75plus","PercentHispanic","PercentNonHispanic","Asianunder45","Asianover45","Blackunder45","Blackover45","Whiteunder45","Whiteover45","Otherunder45","Otherover45","LessThanhighschool","Highschool","SomeCollegeorAS","Bachelor","GraduateORprofessional","Car,Truck,orVan","Carpool","Bicycle","Walked","Taxicab,motorcycle,orother means","Workfromhome","Retail","Wholesale","Transportation and Warehousing","Entertainment, Accommodation and Food Services, etc","Employment, Health Care and Social Assistance","Employment, Accomodation and Food Services","Production, Transportation, and Material Moving","Service","Travel Time Less than 15 Min","Travel Time 15-29 Min","Travel Time 30-59 Min","Travel Time 60-89 Min","Travel Time 90+ Min"
"10012, New York, NY",10012,24527,3.10270314347454,73.9511558690423,17.0750601378073,1.30876177274025,104331,9.8838,10.6289,10.4253,8.40706160557753,58.1563175276226,20.0146777021242,8.1787417947568,5.24320136991887,6.56011742161699,69.2787540261752,8.21543605006727,5.52452399396583,1.89994699718677,0.758347943083133,37.7746972723937,25.4658131854691,0.334325437273209,0.485179597994047,5.7669,7.672,6.9938,42.8534,36.7138,5.4872,1.7103,4.3146,28.589,2.9995,7.4436,7.2676,1.4866,0.7496,12.693,5.0251,5.5016,2.3061,8.1634,22.1396,39.4321,24.3314,3.043,2.179
"10013, New York, NY",10013,29619,4.4734798609001,53.8742023701003,34.9707957729836,1.90080691448057,100269,12.0504,12.9691,12.5276,16.4759107329755,45.4978223437658,22.1682028427698,8.54519058712313,7.31287349336575,6.09068503325568,50.5283770552686,11.4149701205307,17.9411864006212,1.63408622843445,2.25868530335258,26.7294641952801,16.5535635909382,1.14453560214727,0.550322428171106,19.2939,8.9738,9.9412,36.2696,25.5216,5.8119,2.1369,2.5845,29.6773,3.8515,9.4365,7.5842,2.1004,1.6416,10.552,9.5556,4.4946,3.276,10.5018,16.1649,37.405,29.8853,5.5627,1.9068
"10014, New York, NY",10014,31794,1.36503742844562,88.9759074039127,5.62684783292445,1.4814115870919,131711,5.7395,6.2441,6.0642,9.47663081084481,52.1419135685979,24.595835692269,8.51103981883374,5.27458010945461,6.25589733912059,84.3335220481852,2.45643832169592,0.940429011763226,0.440334654337296,0.795747625338114,40.0390010693842,35.7488834371265,0.95930049694911,0.144681386425112,0.912,5.4173,8.5948,48.3693,36.7066,6.2988,1.3712,4.3611,21.1103,4.9324,10.6408,9.5445,1.9416,0.6487,9.4045,6.1607,3.4164,0.6207,6.2121,13.0822,45.2954,26.5565,2.1376,2.2636
"10016, New York, NY",10016,51448,3.45980407401648,70.7335562120977,20.3603638625408,1.25952417975432,126347,8.2743,9.0009,8.7804,8.49012595241797,56.4997667547815,20.3059399782304,8.01391696470222,6.69025034986783,9.38228891307728,62.9703778572539,11.7866583735033,5.64259057689317,1.05154719328254,1.40918986160784,36.7225159384233,27.1108692271808,0.897994091121132,0.258513450474265,4.2518,6.9651,10.8946,44.6089,33.2796,4.455,1.6104,1.0736,45.5601,3.9698,6.2413,6.6163,2.7907,1.1501,6.5224,9.7099,3.5387,1.6326,4.5333,16.5192,40.7056,28.6124,5.0533,2.0937
"10017, New York, NY",10017,16388,2.15401513302416,76.1349768123017,19.7766658530632,0.457651940444227,132446,7.1856,7.9959,7.7558,7.29192091774469,48.8955333170613,23.2731266780571,12.9118867463998,7.62753234073713,7.00512570173298,69.5447888699048,7.65804247010007,6.77324871857457,0.39663168171833,1.56822064925555,30.5040273370759,35.2758115694411,0.20136685379546,0.164754698559922,2.2862,4.5794,10.6331,45.2674,37.2338,6.2009,0.4557,1.2509,44.7462,3.2881,7.4964,6.7928,3.1732,1.1451,6.8899,4.755,2.8045,1.4653,3.9107,20.2717,38.3794,27.3945,5.3857,2.5036
"10018, New York, NY",10018,9719,5.92653565181603,58.7611894227801,29.2931371540282,1.78001852042391,110199,16.3269,17.6628,17.2358,7.80944541619508,70.7068628459718,17.1211029941352,3.01471344788559,1.34787529581233,16.575779401173,45.6734231916864,19.0966148780739,6.09116164214425,3.47772404568371,1.50221216174504,31.5464553966457,13.5199094557053,1.20382755427513,0,7.6273,7.6273,12.6828,38.7166,33.3459,3.6258,0.4924,1.0445,41.3757,3.7153,5.8341,8.8924,4.4725,1.1576,12.2599,6.5246,8.9713,1.8153,11.1287,15.7327,41.91,26.6246,6.7614,3.7096
"10019, New York, NY",10019,41592,6.13339103673783,68.9267166762839,16.4695133679554,4.42152336987882,98848,11.236,12.079,11.8994,6.53731486824389,52.2624543181381,25.2620696287748,9.88170802077323,6.05645316407001,16.1016541642624,58.1578188113099,9.28303519907675,3.66176187728409,2.58222735141373,2.75052894787459,26.4185420273129,31.7777457203308,2.30573187151375,1.46181958068859,4.7858,9.5828,13.4604,37.0035,35.1675,6.2548,1.202,2.7803,37.3096,2.879,7.5335,6.73,2.3553,1.4775,12.0259,9.7898,5.0213,2.6552,9.3201,20.2117,37.1071,31.432,3.2584,1.8315
"10020, New York, NY",10020,0,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10021, New York, NY",10021,44983,1.22268412511393,80.9061200898117,10.572883089167,3.82366671853811,131801,6.0022,6.5131,6.4034,15.3057821843808,40.2329769023853,21.4970099815486,11.8578129515595,11.1064179801258,7.80739390436387,77.4270279883512,6.18233554898517,2.11857812951559,0.377920547762488,0.593557566191672,28.3173643376387,40.4619522930885,2.53873685614566,0.598003690282996,1.1732,5.022,10.975,40.4704,42.3594,12.6421,2.8416,1.0206,25.0406,9.0505,6.6767,6.8644,2.3086,0.7442,6.9439,14.1732,2.2797,1.2826,4.1656,12.2765,30.2395,42.7508,4.0247,1.5355
"10022, New York, NY",10022,30807,1.48992112182296,84.4418476320317,11.1370792352387,0.795273801408771,136729,4.3108,4.6456,4.5231,8.46885448112442,38.8158535397799,24.0529749732204,14.4837212321875,14.1785957736878,6.23884182166391,78.9366053169734,4.98912584802155,4.22631220177232,0.681663258350375,0.717369429025871,26.7374298049145,47.1126691985588,0.249943194728471,0.133086636154121,2.4147,4.493,10.9184,41.7449,40.4291,8.5641,1.3871,0.3545,36.2754,5.1117,9.2011,6.7064,2.4725,1.2844,5.5963,7.4862,2.9862,1.0505,4.1514,16.5138,40.4174,27.5229,4.8945,2.0688
"10023, New York, NY",10023,61514,3.68371427642488,79.8045973274377,10.9926195662776,3.02532756770816,135103,8.5129,9.1392,8.938,13.8423773449946,39.6478850343011,25.6608251780083,11.9615046981175,8.88740774457847,10.940598888058,72.0307572259973,4.62496342296063,3.80076080241896,1.55736905419904,1.86461618493351,27.835939786065,38.6090971161037,1.36716844945866,1.60126150144682,3.0297,6.7128,9.0167,31.9053,49.3356,6.4549,1.6367,2.7192,17.642,4.9991,8.5942,4.2811,2.5436,0.9662,9.6565,11.0737,3.0053,1.9164,5.3193,9.2134,35.5353,38.9329,4.4679,1.7856
"10024, New York, NY",10024,58512,4.65545529122231,82.9129067541701,6.92165709598031,2.81993437243642,138099,7.4616,8.0751,7.8801,16.1590784796281,36.6523106371343,28.1070549630845,11.1395952966913,7.94196062346185,10.6986601039103,76.2971698113208,2.75157232704403,1.96711785616626,1.66461580530489,2.79088050314465,30.1544982225868,40.5882554006016,1.37236806125239,1.05961170358217,4.8465,6.2578,9.0593,34.0779,45.7585,6.3084,1.7308,1.498,7.4841,4.9208,9.1343,4.8104,2.4259,1.115,6.9024,12.6897,2.7764,0.9742,6.0523,7.4985,32.6875,44.0001,4.7138,1.2999
"10025, New York, NY",10025,94382,12.527812506622,64.4201224809815,9.7815261384586,8.57896632832532,83059,15.5209,16.6453,16.3234,14.3184081710496,40.1008666906825,26.3408277001971,11.4757051132631,7.7641923248077,24.0713271598398,54.0569176325994,4.97658451823441,2.72509588692759,3.73694136593842,7.24714458265347,25.1838274247208,31.1044478820114,4.42351295797928,3.16691742069462,9.6916,9.838,12.9663,29.6079,37.8962,8.8195,2.2523,1.4234,9.755,3.2879,8.5638,5.5487,1.7102,1.0611,9.2687,15.2636,4.0616,1.8007,10.8483,8.0749,27.378,47.7341,6.1014,1.7545
"10026, New York, NY",10026,40105,52.9185887046503,27.5052985911981,5.62024685201346,10.1633212816357,54174,26.1496,27.7639,26.9715,19.1771599551178,45.5878319411545,25.6401944894652,5.59032539583593,4.00448821842663,21.6780950006234,20.4064331130782,2.4460790425134,2.50841540954993,24.3510784191497,21.827702281511,15.155217553921,7.82446079042513,6.61264181523501,2.34634085525496,16.6684,21.1684,18.4287,22.6115,21.1231,6.5664,1.3357,1.0757,6.5919,0.9839,6.5001,8.5561,0.9847,5.0606,11.3473,15.2015,6.9975,7.1671,21.8664,5.4454,25.525,50.9456,7.0106,2.7194
"10027, New York, NY",10027,65365,40.3243325938958,31.4097758739387,9.46531018128968,14.3608965042454,46073,25.3358,26.8973,26.5762,17.8398225349958,51.4694408322497,20.7481067849767,5.60544633978429,4.33718350799357,24.1122925112828,26.2005660521686,6.86300007649354,1.57423697697545,19.960223361126,14.8917616461409,19.3329763634973,8.47854356306892,7.60039776638874,4.90629541803718,16.7056,19.7563,16.1879,22.3857,24.9645,9.2938,1.0686,1.6174,14.6585,1.6828,6.4624,8.7775,1.649,4.9114,10.8801,14.2412,6.9628,7.4125,22.2099,14.3043,21.0265,44.7237,8.9353,2.4104
"10028, New York, NY",10028,50091,1.37350022958216,86.8499331217185,9.01559162324569,0.533029885608193,137807,5.2418,6.0809,5.9541,13.6012457327664,44.4610808328842,23.6010460961051,10.0676768281727,8.26895051007167,6.57802798905991,81.7931364915853,5.14663312770757,1.74282805294364,0.570960851250724,0.443193388033779,36.4037451837655,39.4581861012956,0.279491325787068,0.0978219640254736,2.5738,4.1503,10.1536,40.881,42.2412,8.3496,1.0305,1.6208,14.7561,5.8291,6.4927,5.9985,3.2335,1.0731,7.0573,10.8524,2.9295,1.9101,5.0757,8.5882,27.9858,48.7964,4.5391,1.4558
"10029, New York, NY",10029,80866,30.633393515198,33.3118986966092,9.54294759231321,22.7264857913091,35564,26.9328,28.7084,27.6232,20.1827714985284,44.2126480844854,22.5805653797641,6.5132441322682,6.51077090495387,47.7456533029951,15.4675636237727,4.35535330052185,3.61833156085376,16.4927163455593,10.7313333168452,16.3307199564712,12.7952415106472,12.4724853461282,6.96337150347488,24.3009,23.5434,19.0163,19.9097,13.2297,7.1892,0.8263,1.1599,16.4534,1.5395,3.7553,12.1106,1.6371,4.3608,14.8548,20.0872,11.8898,7.5761,31.8768,9.4017,23.2966,49.3493,10.7385,3.2919
"10030, New York, NY",10030,30163,66.3296091237609,15.6251036037529,1.77369625037297,10.0387892451016,40652,25.6417,27.4409,26.8323,18.469648244538,47.1869509001094,24.1521068859198,5.65262076053443,4.53867320889832,25.4583430030169,10.1714020488678,0.802307462785532,0.35142392998044,30.5573053078275,26.5225607532407,8.87179657195902,3.89881643072639,6.68368530981666,1.8532639326327,22.5274,24.0828,22.4234,18.8776,12.0887,11.6336,3.1376,0.5291,9.1593,2.2731,4.2257,11.5226,1.2666,5.471,11.4874,19.2893,7.4589,6.0603,24.2326,8.2769,18.9287,47.8758,13.4137,3.1841
"10031, New York, NY",10031,62382,30.1801801801802,31.5411496906159,3.93703311852778,17.0433778974704,41474,26.9794,28.655,27.7529,16.0238530345292,47.7846173575711,25.0472892821647,6.11875220416146,5.02548812157353,50.7197589048123,17.170016992081,2.41736398320028,0.843191946394793,12.5004007566285,13.7539674906223,17.5547433554551,9.6165560578372,8.51848289570709,6.81446571126286,27.9028,20.9606,17.3477,19.0581,14.7307,7.9617,2.0868,1.4153,6.6247,0.7618,6.3597,9.948,1.2772,4.5337,18.0512,16.1045,13.1318,8.3979,29.611,4.9267,19.3138,53.433,12.1129,4.6793
"10032, New York, NY",10032,63185,20.2643032365277,30.8665031257419,4.38711719553692,33.3291129223708,41863,25.8361,27.5254,26.82,15.1760702698425,48.1569992878056,23.9154862704756,6.31320724855583,6.43823692332041,66.477803276094,13.6598876315581,2.72374772493472,0.892616918572446,8.95149165149956,9.30442351824009,16.0734351507478,11.4948168077867,17.2540951175121,11.597689324998,30.324,19.6524,19.3049,19.8262,10.8925,10.8406,3.9883,2.3289,14.1274,1.2654,5.2473,12.7483,1.3281,4.0743,16.3331,20.1735,12.8203,8.3465,35.1245,13.551,19.9251,42.4381,12.0105,5.0281
"10033, New York, NY",10033,60810,9.94737707613879,41.6017102450255,1.86811379707285,37.0580496628844,42441,23.6811,25.2723,24.6736,17.654990955435,44.8692649235323,23.471468508469,7.96579509949022,6.03848051307351,68.8242065449761,23.3974675217892,0.891300772899194,0.527873704982733,4.81828646604177,3.88916296661733,18.9771419174478,17.1896069725374,19.0889656306529,12.4420325604341,30.3866,15.979,18.2342,21.0567,14.3435,11.553,4.4175,0.6674,12.1276,1.4966,5.2192,11.1263,2.9721,5.1215,14.648,16.0961,10.3984,11.6797,28.1095,8.2187,17.6542,50.6994,12.1119,4.8637
"10034, New York, NY",10034,44186,10.668537545829,36.8872493549993,2.25184447562576,44.0501516317386,47476,22.1664,23.6704,24.2476,19.866020911601,42.5632553297425,24.6096048522156,7.83279771873444,5.12832118770651,72.4324446657312,18.0849137735934,0.832842981939981,0.909790431358349,5.20300547684787,4.19137283302403,14.1741728149188,17.2679129135925,23.430498347893,13.1308559272168,26.9214,20.6614,20.8081,18.1389,13.4702,13.2186,3.1745,0.2673,10.2692,2.0116,5.9692,12.7825,1.5354,4.7742,14.1452,15.8534,10.844,11.4054,29.4468,8.9439,15.671,45.8471,18.9146,5.9402
"10035, New York, NY",10035,35366,39.9451450545722,21.2209466719448,5.17446134705649,28.5047786009161,33652,39.4954,41.2617,40.2432,18.4668891025279,43.5248543799129,25.4821014533733,7.12548775660239,5.40066730758355,47.2374597070633,10.3065090765142,2.27902505231013,1.83792342928236,17.18882542555,16.9032404003846,8.88989424871345,8.89554939772663,15.4809704235707,9.25747893456993,31.6714,22.7762,20.9447,14.4333,10.1744,11.7036,1.6357,0.9635,10.5833,1.3519,3.8838,13.3823,1.7155,4.3185,15.4818,21.3707,12.7592,6.8106,32.2864,7.903,17.7434,53.9729,10.5488,3.7638
"10036, New York, NY",10036,26868,7.62617239839214,64.5079648652672,18.9184159595057,6.28256662200387,77600,14.5718,15.6149,15.299,6.26023522405836,57.0678874497544,26.0384100044663,6.96367425934197,3.66979306237904,19.6181330951318,53.5693017716242,12.140836683043,3.13756141134435,2.54205746613071,4.20574661307131,26.704630043174,26.704630043174,3.69584635998213,2.23686169420872,7.0871,7.0423,11.8836,42.3167,31.6703,4.4161,0.7747,3.183,35.6345,3.7837,5.7125,7.5404,2.2933,1.3149,14.2083,8.8615,6.0385,3.4087,11.0363,15.2801,35.3025,35.3399,4.3373,2.6921
"10037, New York, NY",10037,21184,73.3430891238671,10.0878021148036,2.45468277945619,8.47809667673716,47284,19.9356,21.201,20.6383,23.8009818731118,39.9074773413897,22.6538897280967,6.1791918429003,7.45845921450151,23.4941465256798,5.60800604229607,1.82685045317221,0.43429003021148,35.5692975830816,28.5215256797583,5.35781722054381,3.38462990936556,5.20203927492447,2.110083081571,14.2632,24.9264,22.3188,21.7918,16.6997,11.8139,1.4005,0.1016,12.2318,1.841,5.5907,9.8208,2.3702,4.196,5.1939,21.5015,2.699,5.5341,15.3436,7.8929,20.5942,53.266,12.0435,2.7444
"10038, New York, NY",10038,22457,9.68962906888721,50.220421249499,33.9404194683172,3.25956271986463,64817,20.6002,22.162,21.1842,12.1209422451797,50.4697867034778,21.3786347241395,7.13363316560538,8.89700316159772,11.6133054281516,44.6186044440486,12.0541479271497,17.134969051966,5.16542726098766,3.51783408291401,28.4810972079975,14.5656142850781,1.52736340561963,1.18893886093423,17.2795,13.4148,11.0654,34.0479,24.1924,7.0258,1.2211,2.4841,30.0519,2.1245,6.0974,7.9926,3.2099,3.1051,12.9285,11.8639,8.9039,4.8068,18.3886,18.5096,37.7692,31.7042,4.7665,1.7421
"10039, New York, NY",10039,27203,63.2356725361173,13.2044259824284,1.85273683049664,16.2592361136639,43678,27.4248,29.0183,28.493,24.6222843068779,41.2932397162078,23.7032680219093,5.30088593169871,5.08032202330625,30.5922140940337,6.22357828180715,1.01091791346543,0.624931073778627,32.3162886446348,23.6407749145315,7.55063779730177,3.40771238466346,9.78200933720546,3.9444178950851,19.7975,25.1664,26.5256,18.1084,10.4021,10.5664,1.8731,1.0665,7.2504,1.0396,3.4415,11.0805,1.5829,6.3762,8.1192,20.0534,5.5669,9.5509,23.9662,4.3842,22.8724,46.2072,19.5643,2.8012
"10040, New York, NY",10040,46003,9.9776101558594,35.4737734495576,2.61069930221942,45.0861900310849,49389,19.7685,21.113,20.5608,17.2923504988805,44.0971241006021,23.6941069060713,7.38647479512206,7.52994369932396,69.5889398517488,20.8703780188249,1.08471186661739,0.986892159207008,3.39325696150251,5.74310371062757,15.9815664195813,15.6511531856618,23.6745429645893,14.2186379149186,28.6347,15.6844,20.4685,20.7759,14.4364,9.5804,2.5709,0.3819,10.3442,0.9129,6.4273,10.6857,2.3419,3.0468,14.114,16.8131,10.1545,10.7967,25.9585,6.6924,18.0155,50.1352,16.8662,4.1526
"10044, New York, NY",10044,11945,13.3026370866471,48.5977396400167,30.5567182921725,3.39891167852658,90461,11.225,11.5461,11.2751,12.4905818334031,41.6659690246965,26.9150272080368,10.5650899958141,8.36333193804939,13.5537881958979,39.6316450397656,15.5378819589787,8.74005860192549,2.93009627459188,7.71871075763918,16.6094600251151,26.9401423189619,1.86688991209711,1.48179154457932,10.3731,14.5203,11.7867,23.9268,39.393,6.8019,2.2254,0.5743,5.3661,3.033,0.9871,10.151,2.5808,0.2868,5.0086,24.9283,4.0145,1.2044,8.4496,3.9954,19.5947,56.0887,13.2288,3.6131
"10065, New York, NY",10065,29565,2.34737020125148,88.6182986639608,7.44123118552342,0.39235582614578,144367,4.8078,5.2123,5.1338,13.9489260950448,42.1579570438018,22.9088449179773,9.31168611533908,11.672585827837,6.23372230678167,83.0407576526298,3.70708608151531,1.82648401826484,1.00456621004566,0.940301031625233,34.7979029257568,40.8117706747844,0.257060713681718,0,1.286,6.7694,9.9615,40.3401,41.6429,8.7025,1.8745,1.2665,34.0839,5.7923,9.5806,6.4731,3.5327,1.0048,6.5048,14.1097,3.4428,1.2798,4.7914,20.2285,33.9151,31.3766,3.6173,1.0313
"10069, New York, NY",10069,5195,3.02213666987488,70.3368623676612,22.5794032723773,0,190855,9.5358,10.7002,10.2628,21.5206929740135,47.4494706448508,27.1799807507218,3.07988450433109,0.769971126082772,0.981713185755534,69.8171318575553,12.223291626564,2.9451395572666,0,1.32820019249278,32.8777670837344,26.7564966313763,0,0,0.9086,5.7892,8.2295,35.8515,49.2212,6.252,1.6933,6.7079,11.1039,5.1449,7.9453,5.2433,1.4484,1.6222,7.5319,11.2109,1.9119,1.1298,5.3013,6.3731,29.7798,51.2746,5.7358,0.2028
